Company Name,Job Title,Location,Job Posting Link,Date Applied,Salary,Receive Interview,Application Status,Follow-up Date,Referral / Contact Name,Notes,How Applied,Category,ATS Score,
FlexStaf,Project Manager,,https://www.glassdoor.ca/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_term=jfytspvar2&utm_content=jobs-for-you-jobsForYou-jobpos1-age6d-1009987599275&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1110586&jrtk=5-yul1-1-1jeojviodjn0o801-810c7e3caa91b009---6NYlbfkN0DWGNxgyuVUJzQRoKK78fi0rS_BwPLwQXNkG7IHxYWBY8J1qk0-5f-cWeNkElRbvJURBV6unicNvF5uK2FHtLb0KPZQQHKcArFrVXl9MGp7jal5v8bWwXMDRBfrjYWkrMxOnUc7yHOJTiSIw34ZxJPspH3gzIFnVxNFFVinzmLjAvmK39aahBsIAzQZfWIrdD_J_2MBSTAwwAchtrr6gDy4dihUJ-0ckophSB5_BFPGB-VVFasovBV3IjeSDODroGyxVJJp-BBYTLP7jx1j8dxxV5gJj3Ef7DHlU9abce9EqMJcCfINy8qK6132BYE_mU9MJBC9Ynfls1CnCoXZM-gjMAvZLsXpADvHCL8-mNxjk8nqqzp3PdbHl6Gc5gZLCaubcPqC4J2vZ3mz6jiACUcLNmkiiKkH3vZ6PJOnXFHosfRA_11hn1ore0aMORbVDwybpHymO-WuQpSpYF8RmoEDuWckLzrggX3PcSglYd3_bJ28kwFO2sHWW4p72ynHAcXKtJM3BCGeZMpoYj5p_YanSD3ThzZ_bxtffnPNX3c1GTobjoEE5NsW1N3WGWx_sctk53ZUNAyhbQbSWtnRErrCz8ZTwZhTwslKQkbJI-I5_9aUnKU6WxcurDx3wpxcy4e-9nw8XVb84nafPsT2aJJ_pPtqnVsiAKBv7ixU2jhVSRbjeN8Hs7punASJtWbA4_bM5H12qivCaw%3D%3D&cs=1_94f934fc&s=362&t=REC_JOBS&pos=101&cpc=654405A9B1E0A9F5&guid=0000019baab06e8099998accbba3244e&jobListingId=1009987599275&ea=1&rdforyou=true&vt=e&cb=1768205306979&gdir=1,,48 K - 100K,No,,,,,Glassdoor,,,
Red nucleus,Senior Project Manager ,,https://www.linkedin.com/jobs/view/4310178268/?trackingId=tXu7MMpJwMxF9KISJC3L8g%3D%3D&refId=k2V179cIl%2BX8ubYElCUSTg%3D%3D&midToken=AQH8DxBJnGJ9gw&midSig=12KwGfpcDQEY41&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15009161156&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15009161156-null-19ddgc~mk8g7n14~fx-null-null&eid=19ddgc-mk8g7n14-fx&otpToken=MTUwMzFjZTAxNDI4YzFjMGJlMmYwMmVjNGUxZWUyYmM4ZGNmZDY0ODkxYWI4NTY5NzBjMDA0NmY0ODU5NTRmMGZjOTFhMjk2NGRjZGNhZDQ3ZmM4YjMwM2ZmYzkxZTQ4ZmQxYmQ4OGYyMWYzOTVkYzg2LDEsMQ%3D%3D,14/01/2026,,No,,,,,LinkedIn Application,,,
Klick Health,Senior Project Manager,,https://www.linkedin.com/jobs/view/4344981961/?refId=FV0W8hC1TRnQ3BLzbGMomw%3D%3D&trackingId=a3GgYIJB9xeaXSPboKHSig%3D%3D,14/01/2026,,No,,,,,LinkedIn Application,,,
Havas CX,Senior Project Manager,,https://www.linkedin.com/jobs/view/4343606873/?refId=R2rNQQKdG5tZX2TYhSWW4A%3D%3D&trackingId=1kGpKfPsSC2WjYkEyHWcmw%3D%3D,15/01/2026,"CAD $100,000 to $125,000, ",No,,,,,LinkedIn Application,,,
RELQ TECHNOLOGIES,IT Agile Project Manager,,,,"CAD $90,000 - $110,000",No,,,,,LinkedIn Application,,,
GeoSpectrum Technologies Inc.,Technical Program Manager,,https://www.linkedin.com/jobs/view/4364012286/?refId=c328353e-f4b1-4b64-8a70-02374abb0bdd&trackingId=H3dy3o9TQsuMFVslQV0fcw%3D%3D,21/01/2026,,No,,,,,LinkedIn Application,,,
Ranstad,Remote French Bilingual Customer Service Representative Rewards Program,Edmonton/Alberta,,,,No,,,,,LinkedIn Application,,,
Ranstad,Bilingual Customer Service Representative,Mississauga,,,,No,,,,,LinkedIn Application,,,
Wonderbrands,PLM Project Manager,Etobicoke,https://ca.indeed.com/viewjob?jk=3fe5d6f2726c41f3&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jfios2ichb7c800&from=ja&advn=8923987867552615&adid=392431151&ad=-6NYlbfkN0D8WgehDQONUwhnkbJpQdLZKV4oTqVdegrqd-HSlcATrSyvg_68UwB7_qv0zhLZHGVd6afxT1VdADWvJKvd7YTuPws3zIEpKZUx1W8L7L1TgQFWm3Zp0C56PCJWNdCHl2KVZuMrpEd4bA900P6mMrthhQoTEsOJZRgfAg2_tl4TBA38sU9DxQp6-26rNPXsCipO_B6FNNctxXUmN48c7D-ILedhWyXdA2fr-JEOmnFA9WL7mgyQkLsEmXmRIYZhdwnCayymUNzBu0hXpUSltbrdwOIhOxPIOvqgRDTtA5TwJw896r5iWSykTtnp-fO5wE9ijUKXNxH_NP3RJP2ahDnYX8tCtFzb5Ik78VXCQslfmIuMYs9wR42N1LC01DjpujaZRo2ZZG6vG5z3KNcriXerkQxj0QJjxWT6MKbkHfn56zCkqWxS-BirLCsPZVMQqEIHZNwSYxPzMvakNwk67dCYNZvvLH9WryQhJiDI_WLj7xWhb892_rzoddKGEx09lWXLqPOhycdqb4U5AEYpVvoR21ses_ZxXHpqmlKDdHybCOVOfZakFnqgW75ZOcrTLKc%3D&sjdu=XnjnMb5T0dQIc5XQ_vrU4bksy-HHZctBpT7wdl-Tq-6NThFGf2PeA--_Jv53OkFIvaJHV-_t7xZkuQRtFEQmCe5KmLjd5C-CRYK_fDL8sIlvs8PotGavfhyZRs0thYsDzpVDzpKbi-E_xe82RahCRcg59C3T8jOCGQzcdkYKoR_iTZMNEe1IIQXZ8V8Jh86cSzCK9pXgLq-JDr1C9wzESq2qYVVS2wKOJUK7j6vdU6Qp1Y0PtXB-reQnF2i8gPpcbhm8UXulLq_klY6EA3MI15dOS6WE2BCPjo4qOp9eCF8wxRqtOfmyaLBmU6lFU67a&acatk=1jfjpnt8pi96i803&alid=68f91d99d479c11dce0e2b68&pub=4a1b367933fd867b19b072952f68dceb&camk=CPChkbYSGj-87XHLA3Q5aA%3D%3D&xkcb=SoC86_M3oy5--LBZvz0rbzkdCdPP&xpse=SoDD6_I3oz7Qc5wH050ObzkdCdPP&xfps=bb8114c5-d232-4e2d-898e-2ca7e9251dba&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails,22/01/2026,85 -95 K,Yes,HR  + Hiring Manager,,,,Indeed,,,
GeoTab,"Senior Solutions Delivery Manager, OEM",,https://careers.geotab.com/jobs/description/5010420008/,,,No,,,,,Company Website,,,
Daniela Longo & Associates,Senior Bilingual Project Consultant,,https://ca.indeed.com/viewjob?jk=2335f46519056ea1&tk=1jfcb50sll4ti802&from=jobi2a&advn=2831925622114322&adid=456052119&ad=-6NYlbfkN0BImycqqtzZcLNQQrBjs_FudauKyE5aCfY_5twGl7XWzvmsHy4s0x0SKA3PaBT7izcFjLSfPCbCsPV51IoEDljgbkDJRp24gwQ6nI_h4O9RSFyiTpVPyhX0u_HDQQVLOq4412gR9PU0szJbdkXKOEZyrh9Wms97MHIakoF08I9sKOaTFY91ZLLKUTEKzw673sugz7Kz5citOn6v3Dv5cDvkoVLEWU9g3X363G0yewo4a5EnG3NhFdT9ySksa1gN-tzNNi6EbalFqqmwrpEfRpgP4DKIMeTxeQlqIP_08WpWjKacCWFvfypDXLtXuI2LE2MAVX8cIOgKj9zp2UwSAkTSjkE23XwKq3yJOS4w3i4MeupmeL55Xjzctdq6g7Y40-KprYcyxPo5hLavN3x81a1IEIYFsHUeqmNIAvQhbGGSp3viMMDeO_kc0tp5glJSNjCPYwUoewYsKgprn-ftoQGAiIK7RhOhFJkrYSE4--zq19MiUqT3TU1a8WRmxFVQX0WBmogDNLT1jPlz8sd6-KpVj8xoZYoLjlzgaIZobxdLoaZKFFQavs9x&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-en-CA_nc&camk=UoKtGZLa3XIODq7R7R2Kpw%3D%3D&xkcb=SoCt6_M3oseb-92htB0IbzkdCdPP&xpse=SoDc6_I3o0poMDQpWh0PbzkdCdPP&xfps=f350be92-1ff8-4217-b124-f5a9b7447165,23/01/2026,"$80,000–$125,000 a year - Temporary, Full-time, Fixed term contract- Contract length: 12 months",No,,,,,Indeed,,,
Canadian Tire,Program Delivery Manager - AI & Data,Toronto,,23/01/2026," $79,000 and $131,000",No,,,,,Recruiter,,,
Supernova Technology,Program Manager,,"https://www.glassdoor.ca/job-listing/program-manager-supernova-technology-JV_IC2281069_KO0,15_KE16,36.htm?jl=1009467108179&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos8-age3d-1009467108179&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1136043&jrtk=5-yul1-0-1jfpg9nhoh717800-c2df1ad3f3ecaf30&cs=1_e4ca4ddc&s=224&t=JA&pos=108&ja=363633636&guid=0000019bf2e283ffb94419ceb79ea767&jobListingId=1009467108179&ea=1&vt=e&cb=1769308741614&ctt=1769561919469&srs=EMAIL_JOB_ALERT&gdir=1",27/01/2026,$90K – $120K,No,,,,,Glassdoor,,,
ODAIA,Senior Program Manager,,,,,No,,,,,LinkedIn Application,,,
Dialogue,Project Manager,Toronto,https://www.linkedin.com/jobs/view/4321326432/?trackingId=r7DHDVZ0WwdyQNPCI01H2Q%3D%3D&refId=YwQKXqX9DQVxYLKXJCIY9w%3D%3D&midToken=AQH8DxBJnGJ9gw&midSig=29znpHHj-Y-s41&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15009161156&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15009161156-null-19ddgc~mku8odgm~d8-null-null&eid=19ddgc-mku8odgm-d8&otpToken=MTUwMzFjZTAxNDI4YzFjMGJlMmYwMmVjNGYxZGUwYjE4N2NmZDY0NzliYWU4NTY5NzBjMDA0NmY0ODU5NTRmMGZjZDNhMDg2NjRmOWI5ZjM3YTM5MDU1MDYwNmQ4NGJkN2IzMjdiZjI2MDU0YTFlNTUyLDEsMQ%3D%3D,27/01/2026,,No,,,,,LinkedIn Application,,,
geotab,Solutions Delivery Manager,,,,,No,,,,,LinkedIn Application,,,
MSCI,Technical Program Manager,,"https://www.glassdoor.ca/job-listing/technical-program-manager-msci-JV_IC2281069_KO0,25_KE26,30.htm?jl=1010009585252&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos5-age3d-1010009585252&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1136043&jrtk=5-yul1-0-1jg1786ivgbl4800-f43fe521b4b76de6&cs=1_edba87d4&s=224&t=JA&pos=105&ja=363633636&guid=0000019c02557549b36a998658207a63&jobListingId=1010009585252&vt=e&cb=1769567689540&ctt=1769571464190&srs=EMAIL_JOB_ALERT&gdir=1",,,No,,,,,Glassdoor,,,
Uline,Bilingual CSR,,https://www.glassdoor.ca/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_content=jobs-for-you-jobsForYou-jobpos4-age21d-1009990008188&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1110586&jrtk=5-yul1-1-1jg2tu89pm91c800-e6e84c5909fd0056---6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDX6LFDq4CV98k3tOHDaLynEj3JsfFXMs71NEX8cl9nCFHbs47ChAYt2doix--gMsRLvD_GdBU34_UPt4NvG4_GBYUUkbvJNREwNa9Z79A7zkSGSHI-72uAm-gGIyNU9bEtT7P1FF-iQ-yVAPYhZ5D3mP5LHt7ThA4umwvEyc3u7gQEUqYri8Z5K3zM0kb9X6xxql-RvXfcIP-Tu_PTN6XCAkTk2aBgj6jPpE_zOh47h4qrcYNHfBK5_O8Xq69RUDIZ1FgDMjFVj_GPae_4hc1yit9VbsQdD0hxl9sYBh5ligxFulR184U3GhVZYnPcnzuHbCw58Jho1bUCf0ZH5FU_5agoAWyPFMjMCq6OWNLkfjyrMmDvS2ZcFf6f30sWNK4nvw_u0rajA5H2t-4d2cdtdmQMWeFtXtXclk8-86oiFLs1aZKdzB04EG4VZfJ0ynWlhjtMFLrnbUB7jFWWNFWEDEYtHCqDhQI66b4aRdqkRBYnaNYSSOkvA-bsrE3kwRT3fVwYgQUQ2ntLQiuOYoxmgcgsSSE-oegXxxjhDRUNgFUsnMVyYb4jxox77Uppi3anyYIXwiuris5G0PgSNIkghrIiWB0TQFrrJv4PxPngYbXUv5CIhZQ7TmpyfazqVnWLU_5jKShq0UlSdVG9R2rLEu5dzQFjoL8LxmTdpF-0xACXOlC8jX_RramqprrFxAu6dNtMyH_SktxTHsGHVAtMQ%3D&cs=1_19ad5b8b&s=362&t=REC_JOBS&pos=104&cpc=F41FEAB56D215062&guid=0000019bfd0b39d0ab4592e1a494a8e2&jobListingId=1009990008188&rdforyou=true&vt=e&cb=1769625035545&gdir=1,28/01/2026,Pay from $35 to $40 per hour with significant growth and earning potential!,Yes,HR,,,,Glassdoor,,,
Aviva,Project Manager,"10 Aviva Way, Markham, ON L6G 0G1",https://ca.indeed.com/viewjob?jk=4f3f7b9c790bb0b5&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jg6rte7vg2gp800&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoA-67I3nIZMpRyTwJ0LbzkdCdPP&xfps=7ae59171-8216-46b8-8659-898e8a8704bf&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jg6rte7vg2gp800&xkcb=SoDo67M3nG_6AG3TTh0DbzkdCdPP,30/01/2026,"$110,000 to $130,000",No,,,,,Indeed,,,
RouteThis,Senior Project Manager,,,2005-02-26,104 -144 k,No,,,,,Indeed,,,
BIS Safety Software ,Customer Experience Representative - Technical Support (Remote),,https://www.glassdoor.ca/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_content=jobs-for-you-jobsForYou-jobpos2-age12d-1010005120265&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1110586&jrtk=5-yul1-1-1jgfadejtgb1i805-b7b627f0bc185728---6NYlbfkN0CP3Q_UPKr9FJMWPQxO7lgr5k1WEZA9Z4Y9-bUlhLIRSW5wgtRqn23_TC80Ux5vpDiR71WFoJ_aoSzQy66gkDDX-eAZWsF1mnToPG4IQLXS566WwFBfukL5OH6hIzuTwfSYFCDRX-Mg30plGkb8xK0Odsfl4QXe03QNdTLSGMNFnl8PDD_UvjNLZ2SxTJ-KK5sfNkHIpxZlStsPeeOIncLe5eFLao8okW8vgzCMjvjWsgcrsg_mKl7wHtWn01TRSI56kipHEPx2VG3T5dqutDhauj_4L_w68ayHASR9UyLRQYhxI06Bv-E6e7Ffe8vu6zATCMmsO2SX7_VA53Snqav0Dpf7773B-Gj9LJ0MJQcvw_ghroxdI1VGh92JqVyoalIsXZ1ELXe0EhDz7J-Oi5iHS34KVhGMu6l6yUB7T_aRwNFwPS9Dz3239qIjUvMqFuP_PUR0pDIVq-D_eC2W9g4SG5RNI__ThdceLOidcJ8XFwsCmbrvTS17ok39u06tsnsMFiCVVARo3_DxLu0W-8RhenUiAJ24dKvotnYCLNavMpTZLsQAOholyMFtW5_hXurBUUZlhhaWr3L7ApVIcsv2pb9xohF3xUE1SGgBds44AWS5hAJ44WmgHZy-xa2WPMuCW-7eOmt-WoeLQoNBplqa3RARS5jwtS9d-fp9kdmbadcaL4R5YdB1s3nomlLd-nO7k7n40O_MgxVEtD8dbJUoMf4WWgSAm32k_h9t5myARvDQGb7YFVut&cs=1_490a0185&s=362&t=REC_JOBS&pos=102&cpc=654405A9B1E0A9F5&guid=0000019c16d44500b8ac97b39f460992&jobListingId=1010005120265&rdforyou=true&vt=e&cb=1770040769571&gdir=1,,,No,,,,,Glassdoor,,,
Creative Circle,Project Manager,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4348365598&distance=25&f_TPR=a1770317119-&geoId=100761630&keywords=digital%20project%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4348365598%2C4369159693%2C4348611152%2C4369689465%2C4368863024%2C4359815920&savedSearchId=1675100344&sortBy=R,,$ 40 - $45 per hour,No,,,,,LinkedIn Application,,,
Capgemini,Senior Project Manager,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4368863024&distance=25&f_TPR=a1770317119-&geoId=100761630&keywords=digital%20project%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4348365598%2C4369159693%2C4348611152%2C4369689465%2C4368863024%2C4359815920&savedSearchId=1675100344&sortBy=R,,,No,,,,,LinkedIn Application,,,
Falkon Technologies,Technology PM,,https://ca.indeed.com/viewjob?jk=83307ccc7229f9ef&tk=1jgp8taqbh7pa806&from=jobi2a&advn=72174737651455&adid=456884966&ad=-6NYlbfkN0CnfCg2MMOhxPHjYahsCgIAAGsCZKdke5gLO8sEKN9JFGSdTuNNvzhihf8Oid7GmKAxBo5abFulcGfAhFF35ajOg8oUH5o3EMlxrvre87TTGLggQ9tlrqcdcV8OCKGPlbdSH2Ia21HvpW72Qvp2v2jTG393ix43KYnP5eyt-22NG6wY6iErpi80D-KWIi2VfefIBDWqxR3D1LK4ks_VZ1WwfCneV0BxkXIxDamRpfE0fJL8gsLoftL1Hmwc5yW4Tze27wfF_AinKZWa334jJxNQJw2MjKC2rMALV0jhb3UMJYIW3OHarcOTi-1fCUFQ-zQej2jNNjVJUmVbHT0WuIVmws30LE-uuqoBrssvqYq2R8l_RqYoxhgfazpQwa5g0ikjHvESlRmDFvrMQScigbD7L9yPf1_DzOKo9NtDjMiVnvBLMpX5XT4aHCnN0q2dwRaLchxPfBxZ55Kz9wUdslWp5u9W6JqgeQ5ilQ3O0rQNvsgh8fn5sI13OVgMgMh7GZr1OIYT2oeglj4lw3gu78xrm8bZC0wYBygyOw6Ekw1v0K3RkJuzkIzTl012J7779v-GEIzliPNbD4n1Vs899ZgqtWjqWmXRwymC0-etL8KRFA%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XJoU3YSX2jDDQ%3D%3D&jrtk=5-cmh1-1-1jgp8t9n4nbb6800-83307ccc7229f9ef&xkcb=SoBf6_M3nZZ6hC3Fnp0LbzkdCdPP&xpse=SoCC6_I3nbIlmTWTQp0ObzkdCdPP&xfps=3bba7ca6-2662-4e56-9570-5c27cc2ee421,06/02/2026,"$70,000–$100,000",No,,,,,Indeed,,,
Medline Canada,Bilingual RFP Manager/Gestionnaire des appels d'offres bilingue,,https://ca.indeed.com/viewjob?jk=f0c1c627178fe960&tk=1jh5smt3ijauf801&from=jobi2a&advn=7287428823615779&adid=456947541&ad=-6NYlbfkN0AiJO_oAxyPLwBRsLHKawQDLVAXhcjKieUO33JZP-36LUg67G2PeClMxRjyS7aTrXY_P1iHDHrqPnaO3lnn4HLQJiANgBtO14Al2d4Q3ZyV6kh4oFb2Etcyou1oexdZaa_An2Jl-IwV6kqzMp33RI4LFFX9JVzcWLCMIYUVlVFjSdUAbs374b6sjdi_KloIQhafC8bMTwXeqk6rdKKAFGbYO7Ww80xP0UXeHd-2QlHFuOwx4CabxDsxE4xmRMLujGgids_LNiJXGCea5I7XtCu97CX8kqokA1MhtuU-1DA4YvKv5YmFgZ7gGCPFWUTtozdGwcqiJ59wyE6hCyp-zl3d3shwFn0MD3YioUKOC1nkyGUENYMcghlAstpR-RnZOHqyq5HKKAKqBRlFNVBExk61jT83lFNeoAlBzjd9W5zqVZRuYtSqvqRD0ovjGftJ6RopIce2wXTpd6hGafeugPKm2pxJq8tJzyjxnbaPjQF2A0SnhnPH4-decCHMYKUFiVweo18l-FMgpvAJo74wssPDoHMX2R_fErgtsvk-U3eMMIVKFwFkk-PHGUZEv-W3OrLnJ7uO2hzhqg%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-fr-CA_email&camk=UoKtGZLa3XJgT6XAIJhGVA%3D%3D&xkcb=SoAm6_M3nlxUfER6W50JbzkdCdPP&xpse=SoAL6_I3nnYZRywH650PbzkdCdPP&xfps=3558a5e5-66c1-47b9-87e2-ebecb924eb8e,13-Feb,"100,000",No,,,,,Indeed,,,
Syneos Health,Senior Project Manager,,https://www.linkedin.com/jobs/search-results/?currentJobId=4369330063&eBP=NON_CHARGEABLE_CHANNEL&refId=WEGQj4xdS01JiiqOwgSSsg%3D%3D&trackingId=byk8kXkztn0I1TIs8iahUA%3D%3D&keywords=starfish%20medical&origin=BLENDED_SEARCH_RESULT_NAVIGATION_SEE_ALL&originToLandingJobPostings=4355317109%2C4359290975%2C4362625335,,,No,,,,,LinkedIn Application,,,
Siemens Healthineers,Software Project Manager,,https://www.linkedin.com/jobs/view/4359882996/?alternateChannel=search&eBP=NON_CHARGEABLE_CHANNEL&refId=WEGQj4xdS01JiiqOwgSSsg%3D%3D&trackingId=lL54LTg%2BjUa2zedqG8HvlA%3D%3D,,,No,,,,,LinkedIn Application,,,
Medtronic,Customer Service Rep III - Bilingual,Brampton,https://ca.indeed.com/viewjob?jk=af1c421a03dac63f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,13-Feb,"$48,320–$60,400 a year - Full-time",No,,,,,Indeed,,,
CIMCO Refrigeration,"Bilingual Project Coordinator, Automation",,https://ca.indeed.com/viewjob?jk=464b5b9a0b89f75b&tk=1jhh90v4khgsu801&from=jobi2a&advn=2446992912665175&adid=456862245&ad=-6NYlbfkN0CmcR_VFF6m9Nsl3yDCmEAWfE-rpVcmGl0sHnceSHfHMPyjC2Gy0vIkFZpDMnzS-cnL78O3LRX62hbUUIp4cb1u2PKc0gcV2oLI2FM3ZUj55h7-Tw5LdwysdTYlJ2HyYpKxh4w8B1k0nCsNHcl__vTSqru5IUzMQs90uxlw05YDi4FJ103OwVgShiWE6C3wTweEv1WUL9JMsQw2lcWtC3xsUeIk0sO3LoklHCQWnzO_5OAx_Ny0OjjzBidGIn0n2txOs6zGg4Qvh56HHUSvFamntpj-qPu2fzCYbaVM4y7zkKaMnk4cgjK6iLrq3REcivjsJm2XajyQ9kADPgFDiTKLeSd2D3AQwJqWF77UgpZS2bq72IxcICyDjftoHrzNd6FtqXYkEG7z1FdFpM5HhIQsph5LG_exjpf9f0dqkJ37S-ZdltshnSb6o873ad1zE1qZy6VABZ45eqTiW1yiozgLGIWnzTgOMOD4eWXcE-gVKbzL7qY66XYv5-qwGiKLQU9urCKNRwzB_a2LU4hNlYE0BVbA8jJnTpEAhuR9Ifb5D-jONewWgLQdn1zOd8WIWxYurFaTwM1FuA6XPXVVr7imwGRgf1V8nJeQEfoB2SvT8yZeJ9GgKgCV&sjdu=o4-SOnWFj7zDQa1x_oNfXaEk52Nz9pXCfzpcH_zfubv1hPmQBvdauWqeR_XHkbW_Hwoy-v8T124X6Q4yADy_L8tQ1Cc6r2qQ3s3rg5vPNBh4flpKr-Rm2b8l7RktldZYKU-uv4RJRfxpwwfsqPeXrZjyUUYAEeC9bxW5IiOZakVd7jWJGMhlamrGQY1jGgq9LJqBws-0ywQ6Ecv5P2k8sgBEdUUza0xwAdg2JIk4qU8lp16ArJ5KKgq57z-9s-zZpDFogJGiae0QvfhGA1RR-A&acatk=1jhhivairi9cp802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=UoKtGZLa3XIGY4ZMlpebEQ%3D%3D&jrtk=5-cmh1-1-1jhh90te1kunv805-464b5b9a0b89f75b&xkcb=SoBI6_M3nxaLyXTVch0LbzkdCdPP&xpse=SoCZ6_I3nxtyiYwHdh0PbzkdCdPP&xfps=6aaf8aee-eee4-48e9-9797-08c5cad8d421,17-Feb,,No,,,,,Indeed,,,
ESOD Solutions & Business Inc.,Project coordinator/Manager,,https://www.glassdoor.ca/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_content=jobs-for-you-jobsForYou-jobpos5-age26d-1010006270840&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1136043&jrtk=5-yul1-1-1jhlg0l90kupd801-3cec0097769f0cff&cs=1_0528207b&s=362&t=REC_JOBS&pos=105&guid=0000019c67968660ad38fb138e0fdde6&jobListingId=1010006270840&ea=1&rdforyou=true&vt=e&cb=1771321710257&gdir=1,19-Feb,60 - 130K,No,,,,,Glassdoor,,,
Deloitte,Project Manager,,https://www.workopolis.com/jobsearch/viewjob/4i0J-jEGKE7l_gNttcfQoWKshSowNky6m31hXJN-c61YjKgn_qYuWkgMsLOzey7_,19/02/2026,,No,,,,,Workopolis,,,
North Star Staffing,Program Manager,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4375171510&distance=25&f_TPR=a1771452921-&geoId=101174742&keywords=program%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4374793085%2C4375001258%2C4374776374%2C4371214468%2C4375161011%2C4374485489&savedSearchId=1738446733&sortBy=R,,,No,,,,,LinkedIn Application,,,
,Project Coordinator (Healthcare Programs),,https://ca.indeed.com/viewjob?jk=bf193c5ea51c2218&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jhvnckvigd9f800&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoB867I3mBxFZO3Vmp0LbzkdCdPP&xfps=f8abb138-b4fd-4e94-bd80-380ae9414aef&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jhvnckvigd9f800&xkcb=SoAr67M3n_m9aZ7tjp0jbzkdCdPP,,$ 40 - $ 50 Per hour - Contract,No,,,,,Indeed,,,
Qualcomm,"Program Manager, AI/ML Software",,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4367231546&distance=25&f_TPR=a1771626356-&geoId=101174742&keywords=program%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4374646226%2C4375001258%2C4376182801%2C4376180310%2C4312913338%2C4367231546&savedSearchId=1738446733&sortBy=R,,,No,,,,,LinkedIn Application,,,
Nexus Consulting,Project Manager,,https://www.linkedin.com/jobs/view/4376188009/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4376188009_ssid_15009161148_fmid_19ddgc~mlwgpewk~kd&refId=PbxEeTvrKQkuGfmsFFiygg%3D%3D&trackingId=NrMRAX7BXJ0ZMAqeyPfTvQ%3D%3D,,,No,,,,,LinkedIn Application,,,
GodSpeed Gtoup,Program Manager,,https://ca.indeed.com/?vjk=d2a6f8aefc96e79d&advn=6495812187991615,,,No,,,,,Indeed,,,
Jon Reneau,Bilingual Operations Coordinator,,https://ca.indeed.com/?vjk=c679c85d2ce9507c&advn=9911399382515314,,,No,,,,,Indeed,,,
